Parsing hochiminh.geojson...
Loaded 3056 traffic signal nodes.

Building KD-tree...
KD-tree built in 0.34 ms.

Nearest traffic light to (10.7725, 106.6981):
  ID:        10315805798
  Location:  (10.7715858, 106.6985321)
  Distance:  112.1 m
  Query time: 0.0048 ms

--- All Nodes ---
ID              Latitude      Longitude     
5740180437      10.8776304    106.5912493   
5743072751      10.7758208    106.6990461   
5750497291      10.8292399    106.7226401   
5753114891      10.7060531    106.5979315   
5755254370      10.9000827    106.5759082   
5757656967      10.8607706    106.6921138   
5757746049      10.8082451    106.6181077   
5758104171      10.7348383    106.6026791   
5758114505      10.7678668    106.6800643   
5762711577      10.7675751    106.6862458   
5762736912      10.7700967    106.6940282   
5762890473      10.8749497    106.8052059   
5764869373      10.7691091    106.6812264   
5765073605      10.7937336    106.6690162   
5765234467      10.7416680    106.6298156   
5765322018      10.7456890    106.6255327   
5767087736      10.6966564    106.5964710   
5769301500      10.7872937    106.6368329   
5769329442      10.7860223    106.6417757   
5769329854      10.7866188    106.6433058   
5772015884      10.7902968    106.6974328   
5772092724      10.7613856    106.7010500   
5772101018      10.7809432    106.6828720   
5772101027      10.7843975    106.6845028   
5772159073      10.8591844    106.7050983   
5772159097      10.8608467    106.6921182   
5772493222      10.8697201    106.7762717   
5772558123      10.7808230    106.6589042   
5772562652      10.7499556    106.6423291   
5772563016      10.7590971    106.6341273   
5772563019      10.7649247    106.6357297   
5772563020      10.7649241    106.6355739   
5772606964      10.7779429    106.6654694   
5772687786      10.8720210    106.7692882   
5778414800      10.7561465    106.7059500   
5778529586      10.9567110    106.5099742   
5778529627      10.9567185    106.5104217   
5780574594      10.7601737    106.6653682   
5780574607      10.7630155    106.6647205   
5780574617      10.7649135    106.6642850   
5781158294      10.7636034    106.6979806   
5781158295      10.7636734    106.6979155   
5781158296      10.7637934    106.6978039   
5788625751      10.7621247    106.6571297   
5788625781      10.7620709    106.6568398   
5794892674      11.0556077    106.6292587   
5794972959      11.0558166    106.6290320   
